link_title,web_title,bio_url,image_url
Bastos Tigre,Bastos Tigre,https://pt.wikipedia.org/wiki/Bastos_Tigre,https://upload.wikimedia.org/wikipedia/commons/d/d1/Bastos_Tigre_1944.png
Emílio de Menezes,Emílio de Menezes,https://pt.wikipedia.org/wiki/Em%C3%ADlio_de_Menezes,https://upload.wikimedia.org/wikipedia/commons/8/81/Em%C3%ADlio_de_Meneses_1911.png
Félix Pacheco,Félix Pacheco,https://pt.wikipedia.org/wiki/F%C3%A9lix_Pacheco,https://upload.wikimedia.org/wikipedia/commons/4/40/Jos%C3%A9_F%C3%A9lix_Alves_Pacheco.jpg
Francisca Júlia,Francisca Júlia,https://pt.wikipedia.org/wiki/Francisca_J%C3%BAlia,https://upload.wikimedia.org/wikipedia/commons/2/24/Fjulia.jpg
José Maria Goulart de Andrade,José Maria Goulart de Andrade,https://pt.wikipedia.org/wiki/Jos%C3%A9_Maria_Goulart_de_Andrade,
Humberto de Campos,Humberto de Campos,https://pt.wikipedia.org/wiki/Humberto_de_Campos,https://upload.wikimedia.org/wikipedia/commons/1/1e/Humberto_de_Campos_(1926).tiff
João Batista Ribeiro de Andrade Fernandes,João Batista Ribeiro de Andrade Fernandes,https://pt.wikipedia.org/wiki/Jo%C3%A3o_Batista_Ribeiro_de_Andrade_Fernandes,https://upload.wikimedia.org/wikipedia/commons/d/da/Jo%C3%A3o_Ribeiro.jpg
Júlia Cortines,Júlia Cortines,https://pt.wikipedia.org/wiki/J%C3%BAlia_Cortines,
Luís Carlos da Fonseca Monteiro de Barros,Luís Carlos da Fonseca Monteiro de Barros,https://pt.wikipedia.org/wiki/Lu%C3%ADs_Carlos_da_Fonseca_Monteiro_de_Barros,
Luís Guimarães,Luís Guimarães,https://pt.wikipedia.org/wiki/Lu%C3%ADs_Guimar%C3%A3es,
Magalhães de Azeredo,Magalhães de Azeredo,https://pt.wikipedia.org/wiki/Magalh%C3%A3es_de_Azeredo,https://upload.wikimedia.org/wikipedia/commons/f/f2/Pedro_Weing%C3%A4rtner_-_Retrato_do_Embaixador_Carlos_Magalh%C3%A3es_de_Azeredo%2C_1903.jpg
Martins Fontes,Martins Fontes,https://pt.wikipedia.org/wiki/Martins_Fontes,
Olavo Bilac,Olavo Bilac,https://pt.wikipedia.org/wiki/Olavo_Bilac,https://upload.wikimedia.org/wikipedia/commons/e/e7/Olavobil.jpg
Olegário Mariano,Olegário Mariano,https://pt.wikipedia.org/wiki/Oleg%C3%A1rio_Mariano,https://upload.wikimedia.org/wikipedia/commons/8/82/M%C3%A1rio_de_Alencar_e_Oleg%C3%A1rio_Mariano_(1909).tif
Raimundo Correia,Raimundo Correia,https://pt.wikipedia.org/wiki/Raimundo_Correia,https://upload.wikimedia.org/wikipedia/commons/c/c1/Raymundo_Corr%C3%AAa_(Iconogr%C3%A1fico).jpg
Rodrigo Otávio,Rodrigo Otávio,https://pt.wikipedia.org/wiki/Rodrigo_Ot%C3%A1vio,
Valentim Magalhães,Valentim Magalhães,https://pt.wikipedia.org/wiki/Valentim_Magalh%C3%A3es,
Vicente de Carvalho,Vicente de Carvalho,https://pt.wikipedia.org/wiki/Vicente_de_Carvalho,https://upload.wikimedia.org/wikipedia/commons/c/cb/Vicente_Carvalho.jpg
Alphonsus de Guimaraens,Alphonsus de Guimaraens,https://pt.wikipedia.org/wiki/Alphonsus_de_Guimaraens,https://upload.wikimedia.org/wikipedia/commons/7/76/Alphonsus_de_Guimaraens_(facing_left).jpg
Artur de Sales,Artur de Sales,https://pt.wikipedia.org/wiki/Artur_de_Sales,
Cruz e Sousa,Cruz e Sousa,https://pt.wikipedia.org/wiki/Cruz_e_Sousa,https://upload.wikimedia.org/wikipedia/commons/3/35/Cruz_e_Sousa.jpg
Pedro Kilkerry,Pedro Kilkerry,https://pt.wikipedia.org/wiki/Pedro_Kilkerry,https://upload.wikimedia.org/wikipedia/commons/b/bc/Ficheiro%3APedro_Kilkerry.jpg
Nestor Vítor,Nestor Vítor,https://pt.wikipedia.org/wiki/Nestor_V%C3%ADtor,
Augusto dos Anjos,Augusto dos Anjos,https://pt.wikipedia.org/wiki/Augusto_dos_Anjos,https://upload.wikimedia.org/wikipedia/commons/e/eb/Augusto_Anjos.jpg
Euclides da Cunha,Euclides da Cunha,https://pt.wikipedia.org/wiki/Euclides_da_Cunha,https://upload.wikimedia.org/wikipedia/commons/9/93/Euclides_da_Cunha.jpg
Graça Aranha,Graça Aranha,https://pt.wikipedia.org/wiki/Gra%C3%A7a_Aranha,https://upload.wikimedia.org/wikipedia/commons/5/58/Gra%C3%A7a_Aranha%2C_sem_data.tif
Lima Barreto (escritor),Lima Barreto (escritor),https://pt.wikipedia.org/wiki/Lima_Barreto_(escritor),https://upload.wikimedia.org/wikipedia/commons/0/0f/LimaBarreto.jpg
Monteiro Lobato,Monteiro Lobato,https://pt.wikipedia.org/wiki/Monteiro_Lobato,https://upload.wikimedia.org/wikipedia/commons/d/d2/Monteiro_Lobato.jpg
Raul de Leoni,Raul de Leoni,https://pt.wikipedia.org/wiki/Raul_de_Leoni,
Antônio de Alcântara Machado,Antônio de Alcântara Machado,https://pt.wikipedia.org/wiki/Ant%C3%B4nio_de_Alc%C3%A2ntara_Machado,https://upload.wikimedia.org/wikipedia/commons/4/41/Alcantara_Machado_foto.jpg
Augusto Frederico Schmidt,Augusto Frederico Schmidt,https://pt.wikipedia.org/wiki/Augusto_Frederico_Schmidt,
Carlos Drummond de Andrade,Carlos Drummond de Andrade,https://pt.wikipedia.org/wiki/Carlos_Drummond_de_Andrade,https://upload.wikimedia.org/wikipedia/commons/3/36/Carlos_Drummond_de_Andrade%2C_1970.tif
Cecília Meireles,Cecília Meireles,https://pt.wikipedia.org/wiki/Cec%C3%ADlia_Meireles,https://upload.wikimedia.org/wikipedia/commons/3/3d/Cec%C3%ADlia_Meireles.jpeg
Cassiano Ricardo,Cassiano Ricardo,https://pt.wikipedia.org/wiki/Cassiano_Ricardo,https://upload.wikimedia.org/wikipedia/commons/f/f9/Cassiano_Ricardo_At_The_ABL_1937.jpg
Cornélio Pena,Cornélio Pena,https://pt.wikipedia.org/wiki/Corn%C3%A9lio_Pena,
Cyro dos Anjos,Cyro dos Anjos,https://pt.wikipedia.org/wiki/Cyro_dos_Anjos,https://upload.wikimedia.org/wikipedia/commons/e/e2/Cyro_dos_Anjos%2C_1969.tif
Dante Milano,Dante Milano,https://pt.wikipedia.org/wiki/Dante_Milano,
Érico Veríssimo,Érico Veríssimo,https://pt.wikipedia.org/wiki/%C3%89rico_Ver%C3%ADssimo,https://upload.wikimedia.org/wikipedia/commons/5/55/Retrato-erico-revista-do-globo-reproducao.jpg
Euclides Neto,Euclides Neto,https://pt.wikipedia.org/wiki/Euclides_Neto,
Graciliano Ramos,Graciliano Ramos,https://pt.wikipedia.org/wiki/Graciliano_Ramos,https://upload.wikimedia.org/wikipedia/commons/0/09/GracilianoRamos.jpg
Guilherme de Almeida,Guilherme de Almeida,https://pt.wikipedia.org/wiki/Guilherme_de_Almeida,https://upload.wikimedia.org/wikipedia/commons/f/f1/Guilherme_de_Almeida_at_ABL_1930.jpg
Henriqueta Lisboa,Henriqueta Lisboa,https://pt.wikipedia.org/wiki/Henriqueta_Lisboa,https://upload.wikimedia.org/wikipedia/commons/f/f1/Imagem%3AEstatua_savassi.JPG
Jorge Amado,Jorge Amado,https://pt.wikipedia.org/wiki/Jorge_Amado,https://upload.wikimedia.org/wikipedia/commons/1/1d/Jorge_Amado%2C_1970.tif
Jorge de Lima,Jorge de Lima,https://pt.wikipedia.org/wiki/Jorge_de_Lima,https://upload.wikimedia.org/wikipedia/commons/4/4e/Jorge_de_Lima%2C_anos_1940.tif
José Américo de Almeida,José Américo de Almeida,https://pt.wikipedia.org/wiki/Jos%C3%A9_Am%C3%A9rico_de_Almeida,https://upload.wikimedia.org/wikipedia/commons/2/26/Jos%C3%A9_Am%C3%A9rico_de_Almeida_no_Catete..tif
José Geraldo Vieira,José Geraldo Vieira,https://pt.wikipedia.org/wiki/Jos%C3%A9_Geraldo_Vieira,
José Lins do Rego,José Lins do Rego,https://pt.wikipedia.org/wiki/Jos%C3%A9_Lins_do_Rego,https://upload.wikimedia.org/wikipedia/commons/0/07/Jose_lins_1918.jpg
Juó Bananère,Juó Bananère,https://pt.wikipedia.org/wiki/Ju%C3%B3_Banan%C3%A8re,https://upload.wikimedia.org/wikipedia/commons/3/3a/Bananere.jpg
Lúcio Cardoso,Lúcio Cardoso,https://pt.wikipedia.org/wiki/L%C3%BAcio_Cardoso,https://upload.wikimedia.org/wikipedia/commons/b/b8/Lucio_cardoso.jpg
Manuel Bandeira,Manuel Bandeira,https://pt.wikipedia.org/wiki/Manuel_Bandeira,https://upload.wikimedia.org/wikipedia/commons/5/5a/Manuel_Bandeira%2C_1966.tif
Mário de Andrade,Mário de Andrade,https://pt.wikipedia.org/wiki/M%C3%A1rio_de_Andrade,https://upload.wikimedia.org/wikipedia/commons/1/13/Mario_de_andrade_1928b.png
Mario Quintana,Mario Quintana,https://pt.wikipedia.org/wiki/Mario_Quintana,https://upload.wikimedia.org/wikipedia/commons/a/a8/M%C3%A1rio_Quintana%2C_1966.tif
Marques Rebelo,Marques Rebelo,https://pt.wikipedia.org/wiki/Marques_Rebelo,https://upload.wikimedia.org/wikipedia/commons/5/5a/Marques_Rebelo%2C_1965.tif
Menotti Del Picchia,Menotti Del Picchia,https://pt.wikipedia.org/wiki/Menotti_Del_Picchia,https://upload.wikimedia.org/wikipedia/commons/2/26/Menotti_del_Picchia.jpg
Murilo Mendes,Murilo Mendes,https://pt.wikipedia.org/wiki/Murilo_Mendes,https://upload.wikimedia.org/wikipedia/commons/8/88/Ismael_Nery_-_Retrato_de_Murilo_Mendes%2C_1922.jpg
Oswald de Andrade,Oswald de Andrade,https://pt.wikipedia.org/wiki/Oswald_de_Andrade,https://upload.wikimedia.org/wikipedia/commons/8/8c/Oswald_de_andrade_1920.jpg
Otávio de Faria,Otávio de Faria,https://pt.wikipedia.org/wiki/Ot%C3%A1vio_de_Faria,https://upload.wikimedia.org/wikipedia/commons/2/2e/Ot%C3%A1vio_de_Faria.tif
Pagu,Pagu,https://pt.wikipedia.org/wiki/Pagu,https://upload.wikimedia.org/wikipedia/commons/f/f2/Patricia_Galvao.jpg
Rachel de Queiroz,Rachel de Queiroz,https://pt.wikipedia.org/wiki/Rachel_de_Queiroz,https://upload.wikimedia.org/wikipedia/commons/1/1a/Rachel_de_Queiroz%2C_1971.tif
Raul Bopp,Raul Bopp,https://pt.wikipedia.org/wiki/Raul_Bopp,https://upload.wikimedia.org/wikipedia/commons/b/b4/Raul_Bopp_cropped.jpg
Ribeiro Couto,Ribeiro Couto,https://pt.wikipedia.org/wiki/Ribeiro_Couto,
Ronald de Carvalho,Ronald de Carvalho,https://pt.wikipedia.org/wiki/Ronald_de_Carvalho,
Vinícius de Morais,Vinícius de Morais,https://pt.wikipedia.org/wiki/Vin%C3%ADcius_de_Morais,https://upload.wikimedia.org/wikipedia/commons/1/19/Vinicius.jpg
Adalgisa Nery,Adalgisa Nery,https://pt.wikipedia.org/wiki/Adalgisa_Nery,https://upload.wikimedia.org/wikipedia/commons/2/2b/Adalgisa_Nery.JPG
Clarice Lispector,Clarice Lispector,https://pt.wikipedia.org/wiki/Clarice_Lispector,https://upload.wikimedia.org/wikipedia/commons/5/5a/Clarice_Lispector.jpg
Dalcídio Jurandir,Dalcídio Jurandir,https://pt.wikipedia.org/wiki/Dalc%C3%ADdio_Jurandir,
Elisa Lispector,Elisa Lispector,https://pt.wikipedia.org/wiki/Elisa_Lispector,https://upload.wikimedia.org/wikipedia/commons/1/1e/Elisa_Lispector%2C_sem_data.tif
